,Experience (YY.MM),Age in YY.,Stay/Left,New Location,New Promotion,New Job Role Match,Agency,Direct,Employee Referral,Marr.,Single,other status,B1,B2,B3,other group,< =1,> 1 & < =3,Operation,Sales,Support,Female,Male,other
112,4.08,27.1,Left,6,1,0,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False
113,9.01,33.08,Left,5,1,0,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False
114,4.01,25.06,Left,5,1,0,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False
115,6.1,33.02,Stay,5,1,0,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False
116,3.01,31.01,Stay,7,1,1,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False
117,3.08,26.01,Left,3,1,0,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False
118,6.08,27.04,Left,3,1,0,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False
119,1.09,24.04,Stay,5,1,1,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False
120,4.08,30.07,Left,7,0,0,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False
121,15.03,50.07,Stay,7,1,0,False,False,True,True,False,False,False,False,True,False,True,False,True,False,False,False,True,False
122,5.05,29.09,Left,5,1,0,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False
123,9.09,34.04,Stay,6,1,1,False,False,True,True,False,False,False,False,True,False,True,False,True,False,False,False,True,False
124,25.08,40.04,Stay,6,0,0,True,False,False,True,False,False,False,False,False,True,True,False,True,False,False,False,True,False
125,4.1,28.09,Left,5,1,0,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False
126,11.04,25.04,Stay,6,0,1,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False
127,6.09,30.01,Stay,7,1,0,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False
128,5.05,29.02,Stay,7,1,1,False,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False
129,10.09,36.0,Stay,7,0,1,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False
130,3.02,27.03,Stay,6,0,1,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False
132,1.08,30.06,Stay,7,0,1,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False
133,0.08,24.02,Left,0,0,0,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False
134,0.09,30.01,Stay,0,0,0,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False
135,5.02,28.02,Left,5,0,0,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,True
136,5.01,28.07,Left,4,0,0,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False
137,8.09,32.09,Stay,6,0,1,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False
138,12.09,35.12,Stay,7,0,1,False,True,False,True,False,False,False,False,True,False,True,False,True,False,False,False,True,False
139,10.09,37.07,Stay,7,0,0,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False
140,10.09,33.07,Left,2,0,0,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False
141,4.03,30.11,Stay,5,0,1,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False
142,4.03,27.07,Stay,7,0,1,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False
143,5.09,35.06,Left,4,0,0,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False
144,4.08,30.09,Left,3,1,0,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False
145,1.09,28.11,Left,6,0,0,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False
146,2.11,30.1,Left,5,0,0,False,True,False,False,True,False,False,True,False,False,False,True,True,False,False,False,True,False
147,6.01,30.08,Stay,7,0,1,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False
148,9.02,32.03,Stay,7,0,0,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False
149,5.05,26.06,Left,5,1,0,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False
150,8.11,38.06,Stay,7,0,1,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False
151,11.03,36.11,Stay,6,1,0,True,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,True,False
152,11.03,35.04,Stay,2,0,1,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False
153,3.02,24.09,Stay,5,0,1,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False
154,3.11,37.07,Left,0,0,0,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False
155,2.1,25.11,Left,6,0,0,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False
156,2.0,24.02,Stay,5,1,1,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False
157,11.0,39.11,Stay,7,0,1,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False
158,6.09,28.05,Stay,4,1,0,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False
159,4.04,26.12,Stay,3,1,1,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False
160,8.01,35.09,Stay,3,0,1,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,True
161,4.1,27.11,Left,6,1,0,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False
162,0.11,26.01,Left,6,1,0,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False
163,7.0,31.09,Stay,7,1,0,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False
164,7.1,39.0,Stay,6,0,0,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False
165,5.03,42.02,Stay,5,0,0,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False
166,3.09,25.07,Left,5,0,0,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False
167,0.1,23.08,Stay,2,0,1,False,True,False,False,True,False,False,False,False,True,True,False,False,False,True,True,False,False
168,3.06,28.05,Stay,1,1,1,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False
169,6.04,28.05,Stay,7,0,1,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False
170,9.05,36.07,Left,7,0,0,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False
171,2.08,24.12,Left,7,1,0,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False
172,8.1,31.01,Left,6,1,0,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False
173,1.11,24.09,Left,7,1,0,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False
174,2.01,24.08,Stay,6,1,1,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False
175,4.1,27.11,Stay,3,0,1,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False
176,4.02,31.04,Stay,6,0,1,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False
177,5.04,29.05,Left,6,1,0,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False
178,3.1,28.0,Stay,7,1,0,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False
179,7.09,31.08,Left,5,1,0,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False
180,5.03,33.05,Stay,3,1,1,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False
181,4.01,28.03,Stay,6,0,1,False,False,True,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False
182,2.07,24.11,Left,6,0,0,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False
183,12.08,38.0,Stay,7,0,1,False,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False
184,4.0,28.11,Stay,0,1,1,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False
185,2.02,23.06,Left,7,0,0,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False
186,5.07,29.06,Stay,3,0,1,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False
187,3.0,26.05,Left,6,1,0,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False
188,0.11,25.01,Stay,5,0,1,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False
189,1.0,23.03,Stay,5,0,1,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False
190,6.09,29.07,Stay,6,0,1,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False
191,11.11,38.04,Stay,6,1,1,False,True,False,True,False,False,False,False,False,True,True,False,False,True,False,False,True,False
192,3.11,26.06,Stay,4,0,1,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False
193,5.11,34.08,Left,7,0,0,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False
194,1.11,28.04,Stay,7,0,1,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False
